uri	xpath
abcd:UnitID	/DataSets/DataSet/Units/Unit/UnitID
abcd:UnitGUID	/DataSets/DataSet/Units/Unit/UnitGUID
abcd:SourceInstitutionID	/DataSets/DataSet/Units/Unit/SourceInstitutionID
abcd:Unit-Owner-OrganisationGUID	/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID
abcd:DataSet-Owner-OrganisationGUID	/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID
abcd:TaxonIdentified-FullScientificNameString	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString
abcd:TaxonIdentified-InformalNameString	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString
abcd:TaxonIdentified-NamedIndividual	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual
abcd:RecordBasis	/DataSets/DataSet/Units/Unit/RecordBasis
abcd:KindOfUnit	/DataSets/DataSet/Units/Unit/KindOfUnit
abcd:Unit-License-Text	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text
abcd:Unit-License-URI	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI
abcd:DataSet-License-Text	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text
abcd:DataSet-License-URI	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI
abcd:DataSet-DateModified	/DataSets/DataSet/Metadata/RevisionData/DateModified
abcd:Unit-DateLastEdited	/DataSets/DataSet/Units/Unit/DateLastEdited
abcd:Gathering-LocalityText	/DataSets/DataSet/Units/Unit/Gathering/LocalityText
abcd:Gathering-Country	/DataSets/DataSet/Units/Unit/Gathering/Country
abcd:Biotope	/DataSets/DataSet/Units/Unit/Gathering/Biotope
abcd:Gathering-NamedArea-AreaName	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName
abcd:Gathering-NearNamedPlace	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail
abcd:Gathering-AreaDetail	/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace
abcd:Gathering-LatitudeDecimal	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal
abcd:Gathering-LongitudeDecimal	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal
abcd:Gathering-GML	/DataSets/DataSet/Units/Unit/Gathering/GML
abcd:Gathering-WFS	/DataSets/DataSet/Units/Unit/Gathering/WFS
abcd:Gathering-WMSURL	/DataSets/DataSet/Units/Unit/Gathering/WMSURL
abcd:Gathering-AgentText	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText
abcd:GatheringAgent-FullName	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/FullName
abcd:GatheringAgent-InheritedName	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/InheritedName
abcd:GatheringAgentsText	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgentsText
abcd:Gathering-DateTime-ISODateTimeBegin	/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeBegin
abcd:Gathering-DateTime-DateText	/DataSets/DataSet/Units/Unit/Gathering/DateTime/DateText
abcd:CollectorsFieldNumber	/DataSets/DataSet/Units/Unit/CollectorsFieldNumber
abcd:SpecimenUnit-NomenclaturalTypeDesignation-TypeStatus	/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypeStatus
abcd:MultiMediaObject-FileURI	/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileURI
abcd:MultiMediaObject-ID	/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/ID
abcd:Gathering-SiteImage-FileURI	/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileURI
abcd:Gathering-SiteImage-FileID	/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileID
